system,timestamp,period,path
"CrowdResponse","2022-09-23T16:32:36Z","Weekday: 12 to 6PM","? LOGONUI.EXE"
"CrowdResponse","2022-09-13T00:04:48Z","Weekday 6PM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-13T00:07:41Z","Weekday 6PM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-13T00:04:48Z","Weekday Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-13T00:07:41Z","Weekday Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-23T16:32:36Z","Weekday Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-11T12:10:59Z","Weekend 6AM to 12","?"
"CrowdResponse","2022-09-11T12:10:59Z","Weekend 6AM to 12","?"
"CrowdResponse","2022-09-11T12:11:02Z","Weekend 6AM to 12","?"
"CrowdResponse","2022-09-11T12:11:02Z","Weekend 6AM to 12","?"
"CrowdResponse","2022-09-11T12:11:14Z","Weekend 6AM to 12","?"
"CrowdResponse","2022-09-11T12:17:03Z","Weekend 6AM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-10-18T14:57:10Z","Weekend 6AM to 12","?"
"CrowdResponse","2022-10-18T14:57:11Z","Weekend 6AM to 12","?"
"CrowdResponse","2022-10-18T14:57:13Z","Weekend 6AM to 12","?"
"CrowdResponse","2022-10-18T14:57:14Z","Weekend 6AM to 12","?"
"CrowdResponse","2022-10-18T15:05:30Z","Weekend 6AM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-18T06:46:39Z","Weekend 12 to 6PM","?"
"CrowdResponse","2022-09-18T06:46:39Z","Weekend 12 to 6PM","?"
"CrowdResponse","2022-09-18T06:46:44Z","Weekend 12 to 6PM","?"
"CrowdResponse","2022-09-18T06:46:46Z","Weekend 12 to 6PM","?"
"CrowdResponse","2022-09-18T06:46:56Z","Weekend 12 to 6PM","?"
"CrowdResponse","2022-09-18T06:51:35Z","Weekend 12 to 6PM","? LOGONUI.EXE"
"CrowdResponse","2022-09-18T08:43:46Z","Weekend 12 to 6PM","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T20:34:38Z","Weekend 6PM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T20:51:28Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T20:53:03Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T20:59:34Z","Weekend 6PM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T21:01:11Z","Weekend 6PM to 12","? WINLOGON.EXE"
"CrowdResponse","2022-09-10T21:01:12Z","Weekend 6PM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T21:01:14Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T21:01:16Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T21:01:18Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T21:01:19Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T21:01:53Z","Weekend 6PM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T21:25:08Z","Weekend 6PM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T21:25:09Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T21:25:10Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T21:25:12Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T21:25:12Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T21:25:30Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-10T21:39:39Z","Weekend 6PM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-18T12:06:24Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-18T12:10:08Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-18T12:28:16Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-18T12:28:34Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-18T12:28:53Z","Weekend 6PM to 12","?"
"CrowdResponse","2022-09-18T12:29:03Z","Weekend 6PM to 12","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T20:34:38Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T20:51:28Z","Weekend Global","?"
"CrowdResponse","2022-09-10T20:53:03Z","Weekend Global","?"
"CrowdResponse","2022-09-10T20:59:34Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T21:01:11Z","Weekend Global","? WINLOGON.EXE"
"CrowdResponse","2022-09-10T21:01:12Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T21:01:14Z","Weekend Global","?"
"CrowdResponse","2022-09-10T21:01:16Z","Weekend Global","?"
"CrowdResponse","2022-09-10T21:01:18Z","Weekend Global","?"
"CrowdResponse","2022-09-10T21:01:19Z","Weekend Global","?"
"CrowdResponse","2022-09-10T21:01:53Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T21:25:08Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-10T21:25:09Z","Weekend Global","?"
"CrowdResponse","2022-09-10T21:25:10Z","Weekend Global","?"
"CrowdResponse","2022-09-10T21:25:12Z","Weekend Global","?"
"CrowdResponse","2022-09-10T21:25:12Z","Weekend Global","?"
"CrowdResponse","2022-09-10T21:25:30Z","Weekend Global","?"
"CrowdResponse","2022-09-10T21:39:39Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-11T12:10:59Z","Weekend Global","?"
"CrowdResponse","2022-09-11T12:10:59Z","Weekend Global","?"
"CrowdResponse","2022-09-11T12:11:02Z","Weekend Global","?"
"CrowdResponse","2022-09-11T12:11:02Z","Weekend Global","?"
"CrowdResponse","2022-09-11T12:11:14Z","Weekend Global","?"
"CrowdResponse","2022-09-11T12:17:03Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-18T06:46:39Z","Weekend Global","?"
"CrowdResponse","2022-09-18T06:46:39Z","Weekend Global","?"
"CrowdResponse","2022-09-18T06:46:44Z","Weekend Global","?"
"CrowdResponse","2022-09-18T06:46:46Z","Weekend Global","?"
"CrowdResponse","2022-09-18T06:46:56Z","Weekend Global","?"
"CrowdResponse","2022-09-18T06:51:35Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-18T08:43:46Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-09-18T12:06:24Z","Weekend Global","?"
"CrowdResponse","2022-09-18T12:10:08Z","Weekend Global","?"
"CrowdResponse","2022-09-18T12:28:16Z","Weekend Global","?"
"CrowdResponse","2022-09-18T12:28:34Z","Weekend Global","?"
"CrowdResponse","2022-09-18T12:28:53Z","Weekend Global","?"
"CrowdResponse","2022-09-18T12:29:03Z","Weekend Global","? LOGONUI.EXE"
"CrowdResponse","2022-10-18T14:57:10Z","Weekend Global","?"
"CrowdResponse","2022-10-18T14:57:11Z","Weekend Global","?"
"CrowdResponse","2022-10-18T14:57:13Z","Weekend Global","?"
"CrowdResponse","2022-10-18T14:57:14Z","Weekend Global","?"
"CrowdResponse","2022-10-18T15:05:30Z","Weekend Global","? LOGONUI.EXE"
